T_0        t_f        Theta_0    Theta_1    
          0 1650826031        330         60
 1650826033 1650826035        240        320
 1650826043 1650826073        160        240
 1650826076 1650826077        240        320
 1650826080 1650826107        330         60
 1650826110 1650826111        240        320
 1650826117 1650826149        140        240
 1650826153 1650826154        240        320
 1650826157 1650826187        330         60
 1650826189 1650826190        240        320
 1650826198 1650826236        140        240
 1650826240 1650826241        240        320
 1650826244 1650826276        330         60
